"City","Population","Elevation","AdministrativeDivision","Country"
"Valparaiso de Goias",132982,"QuantityMagnitude[Missing[""NotAvailable""]]","Goias, Brazil","Brazil"
"Franco da Rocha",145755,7.7e2,"São Paulo, Brazil","Brazil"
"Guaratingueta",119073,5.6e2,"São Paulo, Brazil","Brazil"
"Cachoeirinha",118294,19.,"Rio Grande Do Sul, Brazil","Brazil"
"Barbacena",132980,1.1e3,"Minas Gerais, Brazil","Brazil"
"Varginha",131269,8.6e2,"Minas Gerais, Brazil","Brazil"
"Pinhais",119379,8.8e2,"Parana, Brazil","Brazil"
"Resende",125214,4.e2,"Rio de Janeiro, Brazil","Brazil"
"Bento Goncalves",111384,6.6e2,"Rio Grande Do Sul, Brazil","Brazil"
"Pouso Alegre",140000,8.8e2,"Minas Gerais, Brazil","Brazil"
"Garanhuns",130303,8.8e2,"Pernambuco, Brazil","Brazil"
"Teixeira de Freitas",110084,1.e2,"Bahia, Brazil","Brazil"
"Araguaina",109571,2.2e2,"Tocantins, Brazil","Brazil"
"Caxias",108542,81.,"Maranhao, Brazil","Brazil"
"Apucarana",118107,7.9e2,"Parana, Brazil","Brazil"
"Catanduva",119480,5.2e2,"São Paulo, Brazil","Brazil"
"Atibaia",137187,7.7e2,"São Paulo, Brazil","Brazil"
"Ribeirao Pires",120396,8.e2,"São Paulo, Brazil","Brazil"
"Conselheiro Lafaiete",116512,9.7e2,"Minas Gerais, Brazil","Brazil"
"Santa Rita",136851,53.,"Paraiba, Brazil","Brazil"
"Linhares",157814,24.,"Espirito Santo, Brazil","Brazil"
"Itatiba",113284,7.6e2,"São Paulo, Brazil","Brazil"
"Barretos",119243,5.6e2,"São Paulo, Brazil","Brazil"
"Vitoria de Santo Antao",129974,1.5e2,"Pernambuco, Brazil","Brazil"
"Araras",128895,6.2e2,"São Paulo, Brazil","Brazil"
"Jandira",118832,7.6e2,"São Paulo, Brazil","Brazil"
"Poa",113793,7.6e2,"São Paulo, Brazil","Brazil"
"Esmeraldas",103206,8.e2,"Minas Gerais, Brazil","Brazil"
"Marica",146549,7.,"Rio de Janeiro, Brazil","Brazil"
"Teofilo Otoni",140067,3.3e2,"Minas Gerais, Brazil","Brazil"
"Santa Cruz do Sul",126775,43.,"Rio Grande Do Sul, Brazil","Brazil"
"Salto",114171,5.4e2,"São Paulo, Brazil","Brazil"
"Araucaria",119123,9.1e2,"Parana, Brazil","Brazil"
"Sertaozinho",120152,5.5e2,"São Paulo, Brazil","Brazil"
"Birigui",118352,4.e2,"São Paulo, Brazil","Brazil"
"Santana de Parnaiba",126574,7.5e2,"São Paulo, Brazil","Brazil"
"Varzea Paulista",116601,7.7e2,"São Paulo, Brazil","Brazil"
"Araguari",116871,9.5e2,"Minas Gerais, Brazil","Brazil"
"Coronel Fabriciano",109857,2.6e2,"Minas Gerais, Brazil","Brazil"
"Toledo",133824,5.5e2,"Parana, Brazil","Brazil"
"Tubarao",102883,11.,"Santa Catarina, Brazil","Brazil"
