"City","Population","Elevation","AdministrativeDivision","Country"
"San Lorenzo",2394,2.2e3,"Narino, Colombia","Colombia"
"San Jose del Palmar",4768,1.4e3,"Choco, Colombia","Colombia"
"Buritica",2388,1.6e3,"Antioquia, Colombia","Colombia"
"Colombia",2388,7.7e2,"Huila, Colombia","Colombia"
"Santa Rosa",2385,1.9e3,"Cauca, Colombia","Colombia"
"Liborina",2373,7.7e2,"Antioquia, Colombia","Colombia"
"El Tablon",2373,1.6e3,"Narino, Colombia","Colombia"
"Murindo",2372,18.,"Antioquia, Colombia","Colombia"
"Jurado",2351,12.,"Choco, Colombia","Colombia"
"Mongua",2322,2.9e3,"Boyaca, Colombia","Colombia"
"Policarpa",2317,1.2e3,"Narino, Colombia","Colombia"
"Simacota",2315,9.6e2,"Santander, Colombia","Colombia"
"Balboa",2302,1.5e3,"Risaralda, Colombia","Colombia"
"El Penol",2294,1.9e3,"Narino, Colombia","Colombia"
"Briceno",2294,1.1e3,"Antioquia, Colombia","Colombia"
"Saladoblanco",2294,1.4e3,"Huila, Colombia","Colombia"
"Santana",2289,1.6e3,"Boyaca, Colombia","Colombia"
"Tuta",2286,2.6e3,"Boyaca, Colombia","Colombia"
"Cunday",2285,4.9e2,"Tolima, Colombia","Colombia"
"Aratoca",2281,1.8e3,"Santander, Colombia","Colombia"
"Vergara",2267,1.5e3,"Cundinamarca, Colombia","Colombia"
"Rio Quito",2267,"QuantityMagnitude[Missing[""NotAvailable""]]","Choco, Colombia","Colombia"
"El Carmen",2258,1.3e3,"Choco, Colombia","Colombia"
"Morelia",2257,2.6e2,"Caqueta, Colombia","Colombia"
"Santa Isabel",2247,3.1e3,"Tolima, Colombia","Colombia"
"Consaca",2239,1.7e3,"Narino, Colombia","Colombia"
"Nataga",2232,1.2e3,"Huila, Colombia","Colombia"
"Bolivar",2230,2.1e3,"Santander, Colombia","Colombia"
"Anzoategui",18849,1.9e3,"Tolima, Colombia","Colombia"
"Teorama",2219,1.1e3,"Norte de Santander, Colombia","Colombia"
"Paratebueno",2204,2.5e2,"Cundinamarca, Colombia","Colombia"
"Socota",9812,2.4e3,"Boyaca, Colombia","Colombia"
"Guadalupe",2181,1.4e3,"Santander, Colombia","Colombia"
"Paicol",2143,8.6e2,"Huila, Colombia","Colombia"
"Firavitoba",2132,2.5e3,"Boyaca, Colombia","Colombia"
"La Sierra",2129,1.8e3,"Cauca, Colombia","Colombia"
"Puerto Narino",2113,86.,"Amazonas, Colombia","Colombia"
"Tamara",2111,1.e3,"Casanare, Colombia","Colombia"
"Cuaspud",2107,3.e3,"Narino, Colombia","Colombia"
"Guican",2101,2.9e3,"Boyaca, Colombia","Colombia"
"Cachira",10970,2.1e3,"Norte de Santander, Colombia","Colombia"
"Buenavista",2084,1.4e3,"Quindio, Colombia","Colombia"
"San Calixto",2080,1.4e3,"Norte de Santander, Colombia","Colombia"
"Contadero",2062,2.7e3,"Narino, Colombia","Colombia"
"Buenos Aires",2052,1.2e3,"Cauca, Colombia","Colombia"
"Santa Rosalia",2047,1.2e2,"Vichada, Colombia","Colombia"
"Ventaquemada",2041,2.7e3,"Boyaca, Colombia","Colombia"
"Armenia",7006,1.7e3,"Antioquia, Colombia","Colombia"
"San Luis de Palenque",2032,1.7e2,"Casanare, Colombia","Colombia"
"Palestina",2027,1.8e3,"Huila, Colombia","Colombia"
"Guayabetal",2017,1.4e3,"Cundinamarca, Colombia","Colombia"
"Guaca",2005,2.3e3,"Santander, Colombia","Colombia"
"Mapiripan",1993,1.7e2,"Meta, Colombia","Colombia"
"Jambalo",1972,2.2e3,"Cauca, Colombia","Colombia"
"Suarez",1969,2.8e2,"Tolima, Colombia","Colombia"
"Cucutilla",1950,1.4e3,"Norte de Santander, Colombia","Colombia"
"Margarita",9876,21.,"Bolivar, Colombia","Colombia"
"Carmen de Carupa",9109,2.9e3,"Cundinamarca, Colombia","Colombia"
"Montebello",1921,2.3e3,"Antioquia, Colombia","Colombia"
"Guatavita",6898,2.7e3,"Cundinamarca, Colombia","Colombia"
"Angelopolis",8946,1.9e3,"Antioquia, Colombia","Colombia"
"Supata",5022,1.9e3,"Cundinamarca, Colombia","Colombia"
"Aldana",1906,3.1e3,"Narino, Colombia","Colombia"
"Gachala",1899,1.7e3,"Cundinamarca, Colombia","Colombia"
"Quipile",8164,1.8e3,"Cundinamarca, Colombia","Colombia"
"Guadalupe",1896,1.9e3,"Antioquia, Colombia","Colombia"
"Totoro",1888,2.7e3,"Cauca, Colombia","Colombia"
"Ubala",10718,1.9e2,"Cundinamarca, Colombia","Colombia"
"Nunchia",1882,3.9e2,"Casanare, Colombia","Colombia"
"Iles",1879,3.e3,"Narino, Colombia","Colombia"
"Tasco",1870,2.6e3,"Boyaca, Colombia","Colombia"
"Murillo",1860,3.e3,"Tolima, Colombia","Colombia"
"Arcabuco",1840,2.7e3,"Boyaca, Colombia","Colombia"
"Alpujarra",4963,1.3e3,"Tolima, Colombia","Colombia"
"Rosas",1830,1.8e3,"Cauca, Colombia","Colombia"
"Cubara",1829,3.1e2,"Boyaca, Colombia","Colombia"
"Villacaro",1815,1.6e3,"Norte de Santander, Colombia","Colombia"
"Tibana",9186,2.1e3,"Boyaca, Colombia","Colombia"
"Peque",1793,1.2e3,"Antioquia, Colombia","Colombia"
"Mallama",1788,2.3e3,"Narino, Colombia","Colombia"
"Roberto Payan",1772,56.,"Narino, Colombia","Colombia"
"Sachica",3791,2.2e3,"Boyaca, Colombia","Colombia"
"Zipacon",1762,2.5e3,"Cundinamarca, Colombia","Colombia"
"Granada",1744,1.4e3,"Cundinamarca, Colombia","Colombia"
"Macheta",6316,2.1e3,"Cundinamarca, Colombia","Colombia"
"Arboleda",1736,1.9e3,"Narino, Colombia","Colombia"
"Imues",1736,2.4e3,"Narino, Colombia","Colombia"
"La Belleza",1730,2.2e3,"Santander, Colombia","Colombia"
"San Jose",1724,1.7e3,"Caldas, Colombia","Colombia"
"Belmira",1720,2.6e3,"Antioquia, Colombia","Colombia"
"Jenesano",1719,2.2e3,"Boyaca, Colombia","Colombia"
"Betulia",1716,1.9e3,"Santander, Colombia","Colombia"
"La Uvita",2523,2.6e3,"Boyaca, Colombia","Colombia"
"Cucunuba",7479,2.6e3,"Cundinamarca, Colombia","Colombia"
"Gameza",4856,2.9e3,"Boyaca, Colombia","Colombia"
"Umbita",1690,2.5e3,"Boyaca, Colombia","Colombia"
"Alban",1684,2.e3,"Cundinamarca, Colombia","Colombia"
"Cucaita",1683,2.7e3,"Boyaca, Colombia","Colombia"
"Anza",1682,9.9e2,"Antioquia, Colombia","Colombia"
"Matanza",1669,1.6e3,"Santander, Colombia","Colombia"
"Floresta",1668,2.5e3,"Boyaca, Colombia","Colombia"
"La Pena",1667,1.2e3,"Cundinamarca, Colombia","Colombia"
"San Cayetano",1659,2.5e2,"Norte de Santander, Colombia","Colombia"
"Herran",1648,2.e3,"Norte de Santander, Colombia","Colombia"
"Labateca",5867,1.6e3,"Norte de Santander, Colombia","Colombia"
"San Mateo",1634,2.5e3,"Boyaca, Colombia","Colombia"
"Chivor",1795,1.9e3,"Boyaca, Colombia","Colombia"
"Piedras",1619,3.9e2,"Tolima, Colombia","Colombia"
"Caicedo",7608,2.e3,"Antioquia, Colombia","Colombia"
"Susa",12302,2.7e3,"Cundinamarca, Colombia","Colombia"
"El Carmen",1602,8.1e2,"Santander, Colombia","Colombia"
"Corrales",1601,2.4e3,"Boyaca, Colombia","Colombia"
"Sabanalarga",1601,4.5e2,"Casanare, Colombia","Colombia"
"Los Santos",1596,9.6e2,"Santander, Colombia","Colombia"
"Casabianca",6639,2.e3,"Tolima, Colombia","Colombia"
"Viani",1586,1.7e3,"Cundinamarca, Colombia","Colombia"
"Fosca",1582,2.1e3,"Cundinamarca, Colombia","Colombia"
"San Antonio del Tequendama",13084,1.7e3,"Cundinamarca, Colombia","Colombia"
"Castilla la Nueva",1543,4.1e2,"Meta, Colombia","Colombia"
"San Pedro de Cartago",1524,2.e3,"Narino, Colombia","Colombia"
"Cerinza",1519,2.7e3,"Boyaca, Colombia","Colombia"
"Cabuyaro",1509,1.7e2,"Meta, Colombia","Colombia"
"Hacari",1502,1.1e3,"Norte de Santander, Colombia","Colombia"
"Lourdes",1500,1.4e3,"Norte de Santander, Colombia","Colombia"
"Junin",8610,2.e3,"Cundinamarca, Colombia","Colombia"
"Concepcion",1478,1.8e3,"Antioquia, Colombia","Colombia"
"Siachoque",1477,3.1e3,"Boyaca, Colombia","Colombia"
"Florencia",1467,1.7e3,"Cauca, Colombia","Colombia"
"Giraldo",4029,2.5e3,"Antioquia, Colombia","Colombia"
"Marmato",1456,1.2e3,"Caldas, Colombia","Colombia"
"San Pablo de Borbur",1448,5.3e2,"Boyaca, Colombia","Colombia"
"Litoral del San Juan",1448,9.,"Choco, Colombia","Colombia"
"Sutamarchan",5916,2.2e3,"Boyaca, Colombia","Colombia"
"Sutatausa",1418,2.6e3,"Cundinamarca, Colombia","Colombia"
"Cacota",1925,2.4e3,"Norte de Santander, Colombia","Colombia"
"Manta",4719,2.3e3,"Cundinamarca, Colombia","Colombia"
"Quetame",1403,1.4e3,"Cundinamarca, Colombia","Colombia"
"Cabrera",1397,2.e3,"Cundinamarca, Colombia","Colombia"
"Bojaya",1396,17.,"Choco, Colombia","Colombia"
"Cumbitara",1394,1.7e3,"Narino, Colombia","Colombia"
"Onzaga",5054,2.e3,"Santander, Colombia","Colombia"
"Sotara",1390,2.4e3,"Cauca, Colombia","Colombia"
"La Capilla",2550,2.6e3,"Boyaca, Colombia","Colombia"
"Saboya",12372,2.7e3,"Boyaca, Colombia","Colombia"
"Narino",1374,2.6e2,"Cundinamarca, Colombia","Colombia"
"Rio Iro",1372,"QuantityMagnitude[Missing[""NotAvailable""]]","Choco, Colombia","Colombia"
"Colon",1360,1.9e3,"Narino, Colombia","Colombia"
"Chiscas",1356,2.4e3,"Boyaca, Colombia","Colombia"
"Florian",1354,1.5e3,"Santander, Colombia","Colombia"
"Sotaquira",7709,2.7e3,"Boyaca, Colombia","Colombia"
"El Dorado",1346,2.e2,"Meta, Colombia","Colombia"
"Pandi",1336,9.4e2,"Cundinamarca, Colombia","Colombia"
"El Espino",1313,3.3e3,"Boyaca, Colombia","Colombia"
"Tenza",4112,1.5e3,"Boyaca, Colombia","Colombia"
"Ospina Perez",1307,1.6e3,"Cundinamarca, Colombia","Colombia"
"Cienega",1304,2.5e3,"Boyaca, Colombia","Colombia"
"Silos",1300,2.8e3,"Norte de Santander, Colombia","Colombia"
"Guataqui",1290,2.5e2,"Cundinamarca, Colombia","Colombia"
"Abriaqui",4200,2.1e3,"Antioquia, Colombia","Colombia"
"Topaga",1281,2.8e3,"Boyaca, Colombia","Colombia"
"Pajarito",1719,8.5e2,"Boyaca, Colombia","Colombia"
"Marulanda",1256,2.8e3,"Caldas, Colombia","Colombia"
"Carmen del Darien",1247,"QuantityMagnitude[Missing[""NotAvailable""]]","Choco, Colombia","Colombia"
"Santiago",1227,5.1e2,"Norte de Santander, Colombia","Colombia"
"Paez",1220,1.3e3,"Boyaca, Colombia","Colombia"
"La Playa",8546,1.5e3,"Norte de Santander, Colombia","Colombia"
"Susacon",3095,2.5e3,"Boyaca, Colombia","Colombia"
"Chinavita",1207,1.8e3,"Boyaca, Colombia","Colombia"
"Molagavita",1205,2.2e3,"Santander, Colombia","Colombia"
"Pinchote",1197,1.1e3,"Santander, Colombia","Colombia"
"Vetas",1190,3.4e3,"Santander, Colombia","Colombia"
"Barranca de Upia",3926,2.3e2,"Meta, Colombia","Colombia"
"Paramo",1167,1.4e3,"Santander, Colombia","Colombia"
"Maripi",1143,1.4e3,"Boyaca, Colombia","Colombia"
"La Paz",1135,1.9e3,"Santander, Colombia","Colombia"
"Chameza",1130,1.3e3,"Casanare, Colombia","Colombia"
"Galan",1122,9.2e2,"Santander, Colombia","Colombia"
"Elias",1119,1.2e3,"Huila, Colombia","Colombia"
"Nilo",1117,4.e2,"Cundinamarca, Colombia","Colombia"
"Sacama",1115,1.3e3,"Casanare, Colombia","Colombia"
"Chitaraque",1109,1.7e3,"Boyaca, Colombia","Colombia"
"Chaguani",3981,1.e3,"Cundinamarca, Colombia","Colombia"
"Labranzagrande",1108,1.4e3,"Boyaca, Colombia","Colombia"
"Topaipi",4529,1.3e3,"Cundinamarca, Colombia","Colombia"
"San Jose de Miranda",1096,2.1e3,"Santander, Colombia","Colombia"
"Nuevo Colon",1096,2.3e3,"Boyaca, Colombia","Colombia"
"Sucre",1095,2.3e3,"Santander, Colombia","Colombia"
"Santa Sofia",2704,2.3e3,"Boyaca, Colombia","Colombia"
"Zetaquira",1053,1.6e3,"Boyaca, Colombia","Colombia"
"Guayabal de Siquima",1051,1.6e3,"Cundinamarca, Colombia","Colombia"
"Tipacoque",3206,2.e3,"Boyaca, Colombia","Colombia"
"Combita",14632,2.9e3,"Boyaca, Colombia","Colombia"
"Somondoco",3632,1.6e3,"Boyaca, Colombia","Colombia"
"Tibacuy",4828,1.5e2,"Cundinamarca, Colombia","Colombia"
"San Jose de Pare",1020,1.4e3,"Boyaca, Colombia","Colombia"
"Coromoro",1010,1.6e3,"Santander, Colombia","Colombia"
"Ubaque",6166,1.7e3,"Cundinamarca, Colombia","Colombia"
"San Sebastian",980,2.2e3,"Cauca, Colombia","Colombia"
"Macanal",965,1.8e3,"Boyaca, Colombia","Colombia"
"Pachavita",2508,2.1e3,"Boyaca, Colombia","Colombia"
"Medio Atrato",29487,"QuantityMagnitude[Missing[""NotAvailable""]]","Choco, Colombia","Colombia"
"Guavata",943,1.9e3,"Santander, Colombia","Colombia"
"Pamplonita",4932,1.9e3,"Norte de Santander, Colombia","Colombia"
"Iza",931,2.6e3,"Boyaca, Colombia","Colombia"
"Tibirita",2950,2.e3,"Cundinamarca, Colombia","Colombia"
"Mutiscua",3759,2.8e3,"Norte de Santander, Colombia","Colombia"
"Tausa",8801,3.e3,"Cundinamarca, Colombia","Colombia"
"Campohermoso",895,1.e3,"Boyaca, Colombia","Colombia"
"La Jagua del Pilar",894,1.8e2,"La Guajira, Colombia","Colombia"
"California",889,2.e3,"Santander, Colombia","Colombia"
"Ocamonte",883,1.4e3,"Santander, Colombia","Colombia"
"Gutierrez",873,2.1e3,"Cundinamarca, Colombia","Colombia"
"Chipata",5088,1.7e3,"Santander, Colombia","Colombia"
"Santa Helena",865,1.3e3,"Santander, Colombia","Colombia"
"Jerico",865,2.6e3,"Boyaca, Colombia","Colombia"
"Carcasi",5039,2.1e3,"Santander, Colombia","Colombia"
"San Joaquin",844,2.e3,"Santander, Colombia","Colombia"
"Chima",839,1.e3,"Santander, Colombia","Colombia"
"Togui",4966,3.e3,"Boyaca, Colombia","Colombia"
"Sutatenza",4086,1.8e3,"Boyaca, Colombia","Colombia"
"El Penon",817,1.2e3,"Santander, Colombia","Colombia"
"Coper",814,9.6e2,"Boyaca, Colombia","Colombia"
"Albania",810,1.5e3,"Santander, Colombia","Colombia"
"Jesus Maria",808,1.9e3,"Santander, Colombia","Colombia"
"Hato",807,1.3e3,"Santander, Colombia","Colombia"
"Surata",806,1.9e3,"Santander, Colombia","Colombia"
"Paime",4502,1.e3,"Cundinamarca, Colombia","Colombia"
"Soraca",793,2.9e3,"Boyaca, Colombia","Colombia"
"Sativanorte",2339,2.6e3,"Boyaca, Colombia","Colombia"
"El Calvario",784,2.2e3,"Meta, Colombia","Colombia"
"Bucarasica",783,1.1e3,"Norte de Santander, Colombia","Colombia"
"Villagomez",2171,1.6e3,"Cundinamarca, Colombia","Colombia"
"Tota",5386,2.8e3,"Boyaca, Colombia","Colombia"
"Guacamayas",772,3.5e3,"Boyaca, Colombia","Colombia"
"Buenavista",772,"QuantityMagnitude[Missing[""NotAvailable""]]","Boyaca, Colombia","Colombia"
"Coello",9887,2.7e2,"Tolima, Colombia","Colombia"
"San Eduardo",760,2.e3,"Boyaca, Colombia","Colombia"
"Almeida",754,1.9e3,"Boyaca, Colombia","Colombia"
"Quebradanegra",4738,1.3e3,"Cundinamarca, Colombia","Colombia"
"Piamonte",751,"QuantityMagnitude[Missing[""NotAvailable""]]","Cauca, Colombia","Colombia"
"Gambita",742,1.9e3,"Santander, Colombia","Colombia"
"Boyaca",731,2.3e3,"Boyaca, Colombia","Colombia"
"Chiquiza",5484,2.6e3,"Boyaca, Colombia","Colombia"
"El Penon",4805,1.2e3,"Cundinamarca, Colombia","Colombia"
"Olaya",710,4.8e2,"Antioquia, Colombia","Colombia"
"Motavita",702,2.9e3,"Boyaca, Colombia","Colombia"
"Enciso",3323,1.7e3,"Santander, Colombia","Colombia"
"Jerusalen",697,2.9e2,"Cundinamarca, Colombia","Colombia"
"San Cayetano",679,2.1e3,"Cundinamarca, Colombia","Colombia"
"Gama",675,2.1e3,"Cundinamarca, Colombia","Colombia"
"Tena",673,1.8e3,"Cundinamarca, Colombia","Colombia"
"San Juanito",669,2.1e2,"Meta, Colombia","Colombia"
"Chivata",6199,3.e3,"Boyaca, Colombia","Colombia"
"Acaricuara",652,1.9e2,"Vaupes, Colombia","Colombia"
"Charta",3209,2.e3,"Santander, Colombia","Colombia"
"San Miguel de Sema",4556,2.6e3,"Boyaca, Colombia","Colombia"
"Panqueba",644,2.8e3,"Boyaca, Colombia","Colombia"
"Palmas del Socorro",640,1.1e3,"Santander, Colombia","Colombia"
"Briceno",632,1.3e3,"Boyaca, Colombia","Colombia"
"Cumaribo",629,1.3e2,"Vichada, Colombia","Colombia"
"Tona",627,2.2e3,"Santander, Colombia","Colombia"
"San Miguel",624,1.9e3,"Santander, Colombia","Colombia"
"Medio Baudo",621,"QuantityMagnitude[Missing[""NotAvailable""]]","Choco, Colombia","Colombia"
"Nimaima",6679,1.1e3,"Cundinamarca, Colombia","Colombia"
"Puli",590,1.e3,"Cundinamarca, Colombia","Colombia"
"Covarachia",2861,2.5e3,"Boyaca, Colombia","Colombia"
"Sativasur",1110,2.9e3,"Boyaca, Colombia","Colombia"
"Guapota",564,1.5e3,"Santander, Colombia","Colombia"
"Fuquene",5617,2.9e3,"Cundinamarca, Colombia","Colombia"
"Paya",547,9.7e2,"Boyaca, Colombia","Colombia"
"La Salina",543,1.6e3,"Casanare, Colombia","Colombia"
"Viracacha",3222,2.5e3,"Boyaca, Colombia","Colombia"
"Macaravita",538,2.3e3,"Santander, Colombia","Colombia"
"Gachantiva",2654,2.4e3,"Boyaca, Colombia","Colombia"
"Rondon",525,2.e3,"Boyaca, Colombia","Colombia"
"Sora",3025,3.e3,"Boyaca, Colombia","Colombia"
"Cepita",502,6.4e2,"Santander, Colombia","Colombia"
"Cabrera",484,8.6e2,"Santander, Colombia","Colombia"
"Caldas",475,2.7e3,"Boyaca, Colombia","Colombia"
"Bituima",473,1.3e3,"Cundinamarca, Colombia","Colombia"
"Confines",472,1.5e3,"Santander, Colombia","Colombia"
"Aguada",1855,1.3e3,"Santander, Colombia","Colombia"
"San Benito",434,1.2e3,"Santander, Colombia","Colombia"
"Encino",431,1.9e3,"Santander, Colombia","Colombia"
"Tinjaca",425,2.1e3,"Boyaca, Colombia","Colombia"
"El Guacamayo",424,2.e3,"Santander, Colombia","Colombia"
"Berbeo",419,1.2e3,"Boyaca, Colombia","Colombia"
"Beteitiva",413,2.5e3,"Boyaca, Colombia","Colombia"
"Santa Barbara",375,2.e3,"Santander, Colombia","Colombia"
"Beltran",366,2.2e2,"Cundinamarca, Colombia","Colombia"
"Palmar",360,1.e3,"Santander, Colombia","Colombia"
"Pisba",359,1.6e3,"Boyaca, Colombia","Colombia"
"Taraira",341,1.5e2,"Vaupes, Colombia","Colombia"
"Sipi",332,4.3e2,"Choco, Colombia","Colombia"
"Oicata",2834,2.7e3,"Boyaca, Colombia","Colombia"
"Busbanza",319,2.8e3,"Boyaca, Colombia","Colombia"
"La Victoria",314,1.3e3,"Boyaca, Colombia","Colombia"
"Tunungua",298,1.3e3,"Boyaca, Colombia","Colombia"
"Tutasa",1890,3.5e3,"Boyaca, Colombia","Colombia"
"Villa Fatima",292,"QuantityMagnitude[Missing[""NotAvailable""]]","Vaupes, Colombia","Colombia"
"Cuitiva",233,2.7e3,"Boyaca, Colombia","Colombia"
"Recetor",205,7.8e2,"Casanare, Colombia","Colombia"
"Jordan",112,5.7e2,"Santander, Colombia","Colombia"
"Papunaua",879,"QuantityMagnitude[Missing[""NotAvailable""]]","Vaupes, Colombia","Colombia"
"Yavarate",1269,1.2e2,"Vaupes, Colombia","Colombia"
"Guayaquil",2644891,7.,"Guayas, Ecuador","Ecuador"
"Quito",2671191,2.8e3,"Pichincha, Ecuador","Ecuador"
"Cuenca",400000,2.5e3,"Azuay, Ecuador","Ecuador"
"Santo Domingo",200421,5.7e2,"Pichincha, Ecuador","Ecuador"
"Machala",241606,8.,"El Oro, Ecuador","Ecuador"
"Manta",183166,29.,"Manabi, Ecuador","Ecuador"
"Portoviejo",223086,43.,"Manabi, Ecuador","Ecuador"
"Eloy Alfaro",235769,4.,"Guayas, Ecuador","Ecuador"
"Ambato",350000,2.6e3,"Tungurahua, Ecuador","Ecuador"
"Riobamba",156723,2.8e3,"Chimborazo, Ecuador","Ecuador"
"Quevedo",173585,76.,"Los Rios, Ecuador","Ecuador"
"Loja",180617,2.1e3,"Loja, Ecuador","Ecuador"
"Milagro",166634,16.,"Guayas, Ecuador","Ecuador"
"Ibarra",139721,2.2e3,"Imbabura, Ecuador","Ecuador"
"Esmeraldas",161868,1.1e2,"Esmeraldas, Ecuador","Ecuador"
"Babahoyo",96956,6.,"Los Rios, Ecuador","Ecuador"
"La Libertad",75881,35.,"Guayas, Ecuador","Ecuador"
"El Carmen",63371,3.1e2,"Manabi, Ecuador","Ecuador"
"Latacunga",98355,2.8e3,"Cotopaxi, Ecuador","Ecuador"
"Velasco Ibarra",48754,63.,"Guayas, Ecuador","Ecuador"
"Daule",65145,7.,"Guayas, Ecuador","Ecuador"
"Tulcan",60403,8.5e2,"Carchi, Ecuador","Ecuador"
"Ventanas",38168,22.,"Los Rios, Ecuador","Ecuador"
"Pasaje",44860,30.,"El Oro, Ecuador","Ecuador"
"Chone",52810,81.,"Manabi, Ecuador","Ecuador"
"Salinas",50000,1.,"Guayas, Ecuador","Ecuador"
"Santa Elena",53174,1.,"Guayas, Ecuador","Ecuador"
"Rosa Zarate",28928,1.e2,"Esmeraldas, Ecuador","Ecuador"
"Santa Rosa",48929,8.,"El Oro, Ecuador","Ecuador"
"Balzar",28794,37.,"Guayas, Ecuador","Ecuador"
"Huaquillas",47706,10.,"El Oro, Ecuador","Ecuador"
"Bahia de Caraquez",20921,0,"Manabi, Ecuador","Ecuador"
"La Troncal",40000,65.,"Canar, Ecuador","Ecuador"
"Jipijapa",35901,2.9e2,"Manabi, Ecuador","Ecuador"
"Azogues",40000,2.6e3,"Canar, Ecuador","Ecuador"
"Naranjito",34206,33.,"Guayas, Ecuador","Ecuador"
"Vinces",30241,17.,"Los Rios, Ecuador","Ecuador"
"Otavalo",39354,2.6e3,"Imbabura, Ecuador","Ecuador"
"El Triunfo",32282,3.,"Guayas, Ecuador","Ecuador"
"Naranjal",28487,22.,"Guayas, Ecuador","Ecuador"
"Playas",34409,8.,"Guayas, Ecuador","Ecuador"
"Yaguachi",27947,6.,"Guayas, Ecuador","Ecuador"
"Cayambe",39028,2.8e3,"Pichincha, Ecuador","Ecuador"
"Machachi",16515,2.9e3,"Pichincha, Ecuador","Ecuador"
"Puyo",36659,9.8e2,"Pastaza, Ecuador","Ecuador"
"Nueva Loja",57727,3.e2,"Sucumbios, Ecuador","Ecuador"
"Samborondon",42637,5.,"Guayas, Ecuador","Ecuador"
"Macas",19176,1.e3,"Morona Santiago, Ecuador","Ecuador"
"El Guabo",23405,"QuantityMagnitude[Missing[""NotAvailable""]]","El Oro, Ecuador","Ecuador"
"Pedro Carbo",20220,49.,"Guayas, Ecuador","Ecuador"
"Guaranda",30000,2.6e3,"Bolivar, Ecuador","Ecuador"
"Orellana",20313,2.7e2,"Orellana, Ecuador","Ecuador"
"San Lorenzo",20209,6.,"Esmeraldas, Ecuador","Ecuador"
"Catamayo",22697,1.3e3,"Loja, Ecuador","Ecuador"
"Montecristi",46312,1.1e2,"Manabi, Ecuador","Ecuador"
"Atuntaqui",21286,2.3e3,"Imbabura, Ecuador","Ecuador"
"Calceta",17682,20.,"Manabi, Ecuador","Ecuador"
"Tena",23307,5.3e2,"Napo, Ecuador","Ecuador"
"Gualaceo",17122,2.2e3,"Azuay, Ecuador","Ecuador"
"Buena Fe",63148,22.,"Los Rios, Ecuador","Ecuador"
"Pinas",16981,9.5e2,"El Oro, Ecuador","Ecuador"
"Cariamanga",13311,1.9e3,"Loja, Ecuador","Ecuador"
"Pelileo",16572,2.6e3,"Tungurahua, Ecuador","Ecuador"
"La Mana",17276,2.3e2,"Cotopaxi, Ecuador","Ecuador"
"Pujili",16168,2.9e3,"Cotopaxi, Ecuador","Ecuador"
"El Salitre",16144,"QuantityMagnitude[Missing[""NotAvailable""]]","Guayas, Ecuador","Ecuador"
"Arenillas",15852,4.1e2,"El Oro, Ecuador","Ecuador"
"Montalvo",15547,13.,"Los Rios, Ecuador","Ecuador"
"Sucre",15286,3.3e2,"Manabi, Ecuador","Ecuador"
"Zamora",13387,1.3e3,"Zamora Chinchipe, Ecuador","Ecuador"
"San Gabriel",15112,3.e3,"Carchi, Ecuador","Ecuador"
"Shushufindi",14780,"QuantityMagnitude[Missing[""NotAvailable""]]","Sucumbios, Ecuador","Ecuador"
"Tosagua",14680,17.,"Manabi, Ecuador","Ecuador"
"Alausi",14294,2.5e3,"Chimborazo, Ecuador","Ecuador"
"Muisne",13393,2.,"Esmeraldas, Ecuador","Ecuador"
"Macara",11841,4.5e2,"Loja, Ecuador","Ecuador"
"Santa Ana",45287,75.,"Manabi, Ecuador","Ecuador"
"Guano",6872,3.1e3,"Chimborazo, Ecuador","Ecuador"
"Alfredo Baquerizo Moreno",17512,7.,"Guayas, Ecuador","Ecuador"
"San Miguel",12575,2.4e3,"Bolivar, Ecuador","Ecuador"
"Santa Lucia",12523,62.,"Guayas, Ecuador","Ecuador"
"Zaruma",22222,7.3e2,"El Oro, Ecuador","Ecuador"
"Balao",12205,0,"Guayas, Ecuador","Ecuador"
"Valdez",11441,22.,"Esmeraldas, Ecuador","Ecuador"
"Catacocha",5369,1.8e3,"Loja, Ecuador","Ecuador"
"San Miguel",10838,2.7e3,"Cotopaxi, Ecuador","Ecuador"
"Puebloviejo",29420,2.9e3,"Los Rios, Ecuador","Ecuador"
"Rocafuerte",10274,18.,"Manabi, Ecuador","Ecuador"
"Yantzaza",6207,8.7e2,"Zamora Chinchipe, Ecuador","Ecuador"
"Canar",9900,3.1e3,"Canar, Ecuador","Ecuador"
"Catarama",9723,15.,"Los Rios, Ecuador","Ecuador"
"Portovelo",9708,6.7e2,"El Oro, Ecuador","Ecuador"
"Banos",14653,2.1e3,"Tungurahua, Ecuador","Ecuador"
"Colimes",9384,21.,"Guayas, Ecuador","Ecuador"
"Palestina",9364,5.,"Guayas, Ecuador","Ecuador"
"Pajan",9183,1.2e2,"Manabi, Ecuador","Ecuador"
"Junin",9128,60.,"Manabi, Ecuador","Ecuador"
"Palenque",9083,23.,"Los Rios, Ecuador","Ecuador"
"Puerto Ayora",11974,5.,"Galapagos, Ecuador","Ecuador"
"Cotacachi",8238,2.5e3,"Imbabura, Ecuador","Ecuador"
"Lomas de Sargentillo",7542,20.,"Guayas, Ecuador","Ecuador"
"Pillaro",38357,2.9e3,"Tungurahua, Ecuador","Ecuador"
"Sucua",5847,8.2e2,"Morona Santiago, Ecuador","Ecuador"
"Pimampiro",12951,2.e3,"Imbabura, Ecuador","Ecuador"
"Archidona",7309,6.e2,"Napo, Ecuador","Ecuador"
